dataset,corruption_type,corruption_ratio,seed,group,n_eval,auc,auc_drop,bce,bce_increase,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed
assist_09,degree_matched_random_support,1.0,42,graph_hits_history,50529,0.7590817793453577,0.015652619127519918,0.5383407284837752,0.00785905633336148,0.7747343984728776,0.5304816721504138,13.463414192199707,True
assist_09,degree_matched_random_support,1.0,42,high_support_mass,12637,0.7383785731644976,0.013364268314067784,0.5132610450425332,0.009041968056360816,0.7517428414785654,0.5042190769861724,13.463414192199707,True
assist_09,degree_matched_random_support,1.0,42,query_seq_top5_q4_high,12141,0.7756967566734239,0.022094287044795435,0.510649582547242,0.014507212199818098,0.7977910437182193,0.4961423703474239,13.463414192199707,True
assist_09,degree_matched_random_support,1.0,42,multi_concept,8419,0.7349347236885205,0.016781947841308598,0.5601308195297385,0.011536984277790263,0.7517166715298291,0.5485938352519483,13.463414192199707,True
assist_09,sequence_shuffled_support,0.0,42,all,51090,0.7749625115704916,0.0,0.530685684235011,2.5233148903680558e-12,0.7749625115704916,0.5306856842324876,12.95121955871582,True
assist_09,sequence_shuffled_support,0.0,42,graph_hits_history,50529,0.7747343984728776,0.0,0.5304816721529649,2.5511814882861472e-12,0.7747343984728776,0.5304816721504138,12.95121955871582,True
assist_09,sequence_shuffled_support,0.0,42,high_support_mass,12637,0.7517428414785654,0.0,0.5042190769981328,1.1960432644286811e-11,0.7517428414785654,0.5042190769861724,12.95121955871582,True
assist_09,sequence_shuffled_support,0.0,42,query_seq_top5_q4_high,12141,0.7977910437182193,0.0,0.4961423703474239,0.0,0.7977910437182193,0.4961423703474239,12.95121955871582,True
assist_09,sequence_shuffled_support,0.0,42,multi_concept,8419,0.7517166715298291,0.0,0.5485938352672604,1.5312084933327696e-11,0.7517166715298291,0.5485938352519483,12.95121955871582,True
assist_09,sequence_shuffled_support,0.25,42,all,51090,0.7743243325219527,0.0006381790485389116,0.531278957299747,0.0005932730672593145,0.7749625115704916,0.5306856842324876,13.089430809020996,True
assist_09,sequence_shuffled_support,0.25,42,graph_hits_history,50529,0.7741193806562939,0.000615017816583685,0.5310265400007051,0.0005448678502913973,0.7747343984728776,0.5304816721504138,13.089430809020996,True
assist_09,sequence_shuffled_support,0.25,42,high_support_mass,12637,0.7516289823673383,0.00011385911122707704,0.5041492307248334,-6.984626133899052e-05,0.7517428414785654,0.5042190769861724,13.089430809020996,True
assist_09,sequence_shuffled_support,0.25,42,query_seq_top5_q4_high,12141,0.7978808517504485,-8.980803222924383e-05,0.49603591892016735,-0.00010645142725657086,0.7977910437182193,0.4961423703474239,13.089430809020996,True
assist_09,sequence_shuffled_support,0.25,42,multi_concept,8419,0.7516519225267775,6.47490030516451e-05,0.5484331178284692,-0.00016071742347911755,0.7517166715298291,0.5485938352519483,13.089430809020996,True
