delete_mode,fraction,trial,group,n,deleted_edges,auc,auc_drop_vs_baseline,bce,bce_increase_vs_baseline
random,0.25,4,multi_concept,8419,385,0.7451233597385047,0.0056980054325810325,0.5580403758653195,0.0034351757707287156
top,0.5,0,all,51090,748,0.7414453084670991,0.03200468402214507,0.5679113864637013,0.030811172925026997
top,0.5,0,graph_hits_history,50529,748,0.7405759023849381,0.03254219049451268,0.568166025303424,0.031184272509604316
top,0.5,0,high_support_mass,12637,748,0.7135002943513216,0.039808377699215525,0.5411480382922282,0.035085519968048984
top,0.5,0,multi_concept,8419,748,0.6781554067995086,0.07266595837157719,0.6092922830393317,0.054687082944740895
random,0.5,0,all,51090,748,0.7531435779340356,0.02030641455520854,0.5542075765326828,0.0171073629940085
random,0.5,0,graph_hits_history,50529,748,0.752464934300332,0.020653158579118758,0.554289873931148,0.01730812113732838
random,0.5,0,high_support_mass,12637,748,0.7179648065078768,0.035343865542660335,0.5349744396297546,0.028911921305575294
random,0.5,0,multi_concept,8419,748,0.7001922408769741,0.050629124294111705,0.5923341083978293,0.037728908303238495
random,0.5,1,all,51090,748,0.7638570207802733,0.009592971708970888,0.5438861928081871,0.006785979269512743
random,0.5,1,graph_hits_history,50529,748,0.7634590141607145,0.00965907871873628,0.5436835460062742,0.006701793212454565
random,0.5,1,high_support_mass,12637,748,0.7393491795559444,0.013959492494592718,0.5153286897760833,0.009266171451904004
random,0.5,1,multi_concept,8419,748,0.7381575160332196,0.012663849137866223,0.5600949145666805,0.0054897144720896796
random,0.5,2,all,51090,748,0.7597882452968687,0.01366174719237545,0.5458864199829265,0.00878620644425221
random,0.5,2,graph_hits_history,50529,748,0.7592829936032638,0.01383509927618698,0.545946835307174,0.008965082513354372
random,0.5,2,high_support_mass,12637,748,0.7313896589588816,0.021919013091655448,0.5217254885774014,0.015662970253222164
random,0.5,2,multi_concept,8419,748,0.7260942643625091,0.024727100808576652,0.5763075911129585,0.021702391018367684
random,0.5,3,all,51090,748,0.7638413088130029,0.009608683676241236,0.544826313549095,0.007726100010420733
random,0.5,3,graph_hits_history,50529,748,0.7632592854657547,0.009858807413696047,0.5449379834613463,0.007956230667526598
random,0.5,3,high_support_mass,12637,748,0.7362456681396939,0.017063003910843144,0.5219659850148809,0.01590346669070164
random,0.5,3,multi_concept,8419,748,0.7370197036961401,0.013801661474945659,0.5731622841452492,0.018557084050658368
random,0.5,4,all,51090,748,0.7612482443210449,0.0122017481681993,0.5568483751071374,0.01974816156846304
random,0.5,4,graph_hits_history,50529,748,0.760897049879618,0.012221042999832732,0.5568599054032268,0.019878152609407174
random,0.5,4,high_support_mass,12637,748,0.7357102719758324,0.0175984000747047,0.5312924228046318,0.025229904480452592
random,0.5,4,multi_concept,8419,748,0.7406386605645467,0.010182704606539028,0.5879891258049282,0.033383925710337436
