dataset,corruption_type,corruption_ratio,seed,group,n_eval,auc,auc_drop,bce,bce_increase,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed
junyi,sequence_shuffled_support,0.75,42,query_seq_top5_q4_high,14777,0.8428822971132494,0.00031851857857390087,0.40370025226294487,0.00014507361161592014,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,sequence_shuffled_support,1.0,42,all,60494,0.8260016930019891,0.003274973468929243,0.4914961719221299,-0.0025103750025436966,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,sequence_shuffled_support,1.0,42,graph_hits_history,60473,0.8259243379592545,0.0032708961020798677,0.49149689231354443,-0.002510839441437762,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,sequence_shuffled_support,1.0,42,high_support_mass,15119,0.8150975791803909,0.002914268180299606,0.4256533848138273,-0.0013550855796318761,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,sequence_shuffled_support,1.0,42,query_seq_top5_q4_high,14777,0.8409306858131139,0.002270129878709337,0.3996633649528257,-0.003891813698503277,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,self_only_fallback,0.0,42,all,60494,0.8292766664709184,0.0,0.4940065469246736,0.0,0.8292766664709184,0.4940065469246736,23.345767974853516,True
junyi,self_only_fallback,0.0,42,graph_hits_history,60473,0.8291952340613343,0.0,0.4940077317549822,0.0,0.8291952340613343,0.4940077317549822,23.345767974853516,True
junyi,self_only_fallback,0.0,42,high_support_mass,15119,0.8180118473606905,0.0,0.4270084703934592,0.0,0.8180118473606905,0.4270084703934592,23.345767974853516,True
junyi,self_only_fallback,0.0,42,query_seq_top5_q4_high,14777,0.8432008156918233,0.0,0.40355517865132895,0.0,0.8432008156918233,0.40355517865132895,23.345767974853516,True
junyi,self_only_fallback,0.25,42,all,60494,0.8274235770609575,0.001853089409960873,0.5035179275882486,0.009511380663575042,0.8292766664709184,0.4940065469246736,1.0,True
junyi,self_only_fallback,0.25,42,graph_hits_history,60473,0.8273540718697374,0.0018411621915969123,0.5035227986917526,0.009515066936770455,0.8291952340613343,0.4940077317549822,1.0,True
junyi,self_only_fallback,0.25,42,high_support_mass,15119,0.8172357353596624,0.0007761120010281175,0.4353303757100881,0.008321905316628908,0.8180118473606905,0.4270084703934592,1.0,True
junyi,self_only_fallback,0.25,42,query_seq_top5_q4_high,14777,0.8428222417602305,0.00037857393159279606,0.41337174126321136,0.009816562611882407,0.8432008156918233,0.40355517865132895,1.0,True
junyi,self_only_fallback,0.5,42,all,60494,0.8274235770609575,0.001853089409960873,0.5035179275882486,0.009511380663575042,0.8292766664709184,0.4940065469246736,1.0,True
junyi,self_only_fallback,0.5,42,graph_hits_history,60473,0.8273540718697374,0.0018411621915969123,0.5035227986917526,0.009515066936770455,0.8291952340613343,0.4940077317549822,1.0,True
junyi,self_only_fallback,0.5,42,high_support_mass,15119,0.8172357353596624,0.0007761120010281175,0.4353303757100881,0.008321905316628908,0.8180118473606905,0.4270084703934592,1.0,True
junyi,self_only_fallback,0.5,42,query_seq_top5_q4_high,14777,0.8428222417602305,0.00037857393159279606,0.41337174126321136,0.009816562611882407,0.8432008156918233,0.40355517865132895,1.0,True
junyi,self_only_fallback,0.75,42,all,60494,0.8274235770609575,0.001853089409960873,0.5035179275882486,0.009511380663575042,0.8292766664709184,0.4940065469246736,1.0,True
junyi,self_only_fallback,0.75,42,graph_hits_history,60473,0.8273540718697374,0.0018411621915969123,0.5035227986917526,0.009515066936770455,0.8291952340613343,0.4940077317549822,1.0,True
junyi,self_only_fallback,0.75,42,high_support_mass,15119,0.8172357353596624,0.0007761120010281175,0.4353303757100881,0.008321905316628908,0.8180118473606905,0.4270084703934592,1.0,True
junyi,self_only_fallback,0.75,42,query_seq_top5_q4_high,14777,0.8428222417602305,0.00037857393159279606,0.41337174126321136,0.009816562611882407,0.8432008156918233,0.40355517865132895,1.0,True
junyi,self_only_fallback,1.0,42,all,60494,0.8274235770609575,0.001853089409960873,0.5035179275882486,0.009511380663575042,0.8292766664709184,0.4940065469246736,1.0,True
junyi,self_only_fallback,1.0,42,graph_hits_history,60473,0.8273540718697374,0.0018411621915969123,0.5035227986917526,0.009515066936770455,0.8291952340613343,0.4940077317549822,1.0,True
junyi,self_only_fallback,1.0,42,high_support_mass,15119,0.8172357353596624,0.0007761120010281175,0.4353303757100881,0.008321905316628908,0.8180118473606905,0.4270084703934592,1.0,True
junyi,self_only_fallback,1.0,42,query_seq_top5_q4_high,14777,0.8428222417602305,0.00037857393159279606,0.41337174126321136,0.009816562611882407,0.8432008156918233,0.40355517865132895,1.0,True
