dataset,corruption_type,corruption_ratio,seed,subgroup,n_eval,auc,auc_drop_from_clean,bce,bce_increase_from_clean,clean_auc,clean_bce,mean_support_size,train_only_candidate_check_passed,evidence_minus_degree_random_auc_drop,evidence_minus_degree_random_bce_increase,bootstrap_ci_low,bootstrap_ci_high,claim_status,source_file,metric,degree_auc_drop,degree_bce_increase,requested_subgroup
assist_09,evidence_support_corruption,0.25,44,direct_unseen_bridgeable,1584,0.8075707765471897,0.0104664095280418,0.399218197862461,0.0046460651573884,0.8180371860752316,0.3945721327050726,9.959349632263184,True,0.0059267916023206,0.0024723593594925997,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0045396179257212,0.0021737057978958,direct_unseen_bridgeable
assist_09,evidence_support_corruption,0.25,44,high_seq_support,12141,0.7887487141990285,0.0090423295191908,0.5083756427008437,0.0122332723534197,0.7977910437182193,0.4961423703474239,9.959349632263184,True,0.0061680748256474,0.0101361307300715,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0028742546935434,0.0020971416233482,high_seq_support
assist_09,evidence_support_corruption,0.25,44,high_crg_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064578113,0.0072570294552517,0.7517428414785654,0.5042190770025595,9.959349632263184,True,0.0059807538405709515,0.007251979149653536,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,3.982233441934824e-05,5.0503055981643286e-06,high_crg_mass
assist_09,evidence_support_corruption,0.25,44,short_history,25670,0.7779250168244263,0.0049771092711499,0.5520958848554741,0.0040933019972804,0.7829021260955762,0.5480025828581937,9.959349632263184,True,0.0028618732827906,0.0020230133704205004,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0021152359883593,0.0020702886268599,short_history
assist_09,evidence_support_corruption,0.25,44,long_history,25420,0.7527911841105037,0.0048248020079562,0.5185710917387976,0.0053726139357318,0.7576159861184599,0.5131984778030657,9.959349632263184,True,0.0041515254267014004,0.0045055801355024004,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0006732765812548,0.0008670338002294,long_history
assist_09,evidence_support_corruption,0.25,45,all,51090,0.7702015840193313,0.0047609275511603,0.53541551215088,0.0047298279127949,0.7749625115704916,0.530685684238085,9.959349632263184,True,0.0037644832090498004,0.0033017126490350003,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0009964443421105,0.0014281152637599,all
assist_09,evidence_support_corruption,0.25,45,graph_hits_history,50529,0.769820386945874,0.0049140115270036,0.5353445165509533,0.0048628443948801,0.7747343984728776,0.5304816721560731,9.959349632263184,True,0.0039448704584566,0.0034754926419493,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.000969141068547,0.0013873517529308,direct_unseen_bridgeable
assist_09,evidence_support_corruption,0.25,45,high_support_mass,12637,0.7457222653035751,0.0060205761749903,0.5114761064421915,0.007257029439632,0.7517428414785654,0.5042190770025595,9.959349632263184,True,0.00601441694526017,0.0069793020303696,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,6.15922973012939e-06,0.0002777274092624,high_crg_mass
assist_09,evidence_support_corruption,0.25,45,query_seq_top5_q4_high,12141,0.7887487141990285,0.0090423295191908,0.5083756427008437,0.0122332723534197,0.7977910437182193,0.4961423703474239,9.959349632263184,True,0.0088782700001661,0.011316613066098399,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0001640595190247,0.0009166592873213,high_seq_support
assist_09,evidence_support_corruption,0.25,45,multi_concept,8419,0.7420374564132071,0.009679215116622,0.5620485206903802,0.0134546854044653,0.7517166715298291,0.5485938352859149,9.959349632263184,True,0.0088605517024982,0.013459846872691123,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0008186634141238,-5.161468225822752e-06,direct_seen
assist_09,evidence_support_corruption,0.25,45,direct_seen,49506,0.7678807530982996,0.0046966242407826,0.5397732979916438,0.0047325079961091,0.7725773773390823,0.5350407899955346,9.959349632263184,True,0.0038259256295297005,0.0033470978242708003,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0008706986112529,0.0013854101718383,direct_seen
assist_09,evidence_support_corruption,0.25,45,direct_unseen,1584,0.8075707765471897,0.0104664095280418,0.399218197862461,0.0046460651573884,0.8180371860752316,0.3945721327050726,9.959349632263184,True,0.0037122240690591005,0.0018832540093646996,,,weak,/home/zsh/ConceptSkillCDM/results/crg_lcrf_core3_final_20260520/crg_support_controls/assist_09/crg_support_corruption_control.csv,auc_bce,0.0067541854589827,0.0027628111480237,direct_unseen
